profile,kind,amp,weight_min,weight_max,root_re,root_im,delta_from_baseline_abs,delta_from_baseline_rel,abs_D,relsv_max,lambda1_re,lambda1_im,lambda2_re,lambda2_im,chiJ_re,chiJ_im,chiX_re,chiX_im,Rmax_max_shift,winding,pass
baseline,baseline,0.0,1.0,1.0,0.37751480236022333,-0.020871645262682065,1.5214275844252196e-08,4.023968350989277e-08,7.475623584389686e-08,1.9944776534036847e-12,-0.09400174478424975,0.07339732383264083,-0.12822047743864926,-0.0733973238319703,0.08848435669254083,1.484579868887787,1.8944688071674904,1.1047468872784627,6.345819961477174e-08,1.0,True
tilt_plus,tilt,0.35,0.6901498252046818,1.389791079066204,0.37751653157657455,-0.020870613063183566,2.008245705373499e-06,5.311535851038262e-06,1.473178877444195e-08,1.642355868960027e-12,-0.09399937617620001,0.07338847030611673,-0.12822284604631687,-0.07338847030579104,0.08794802240963802,1.4844520559622993,1.893902265218589,1.1053026437258509,5.816721667036448e-08,1.0,True
tilt_minus,tilt,-0.35,0.6901498252046818,1.389791079066204,0.3775127190871867,-0.020872900282051715,2.437743839957205e-06,6.447499808880327e-06,3.3298006652173494e-08,2.1420406771445506e-12,-0.09400465234175517,0.07340807472250849,-0.12821756988148428,-0.07340807472171917,0.08913335108246359,1.4847353487867434,1.89515533120238,1.1040750434788438,5.517935279346088e-08,1.0,True
center_plus,center,0.45,0.7368493933257303,1.1555265615297474,0.37751324897374344,-0.02087257763775231,1.8174037463660156e-06,4.806784911231273e-06,6.107575594356282e-08,2.064807811139888e-12,-0.09400391384919683,0.0734053753993963,-0.12821830837382794,-0.07340537539866489,0.08896927062110174,1.4846944272923783,1.894979781966342,1.1042436495229588,6.52696046257932e-08,1.0,True
center_minus,center,-0.45,0.8492136028152313,1.3317360146506712,0.3775163309459916,-0.020870733066330662,1.774470053182068e-06,4.693231151373187e-06,2.7469219888460088e-08,1.7396880212907912e-12,-0.09399964757169704,0.0733894976645546,-0.12822257465099435,-0.07338949766418816,0.08801014884148106,1.4844668519510322,1.8939677621077218,1.1052382251189052,7.18767787226439e-08,1.0,True
two_lobe_plus,two_lobe,0.35,0.6805777323098229,1.3701360669425122,0.37751599483448905,-0.020870941687169395,1.3789003253645057e-06,3.6470031996506838e-06,2.5146653102582395e-08,1.872962737964374e-12,-0.0940001543499487,0.07339122878026454,-0.1282220678728206,-0.07339122877976595,0.08811531607012935,1.4844940502659028,1.894081540077963,1.105130954736608,5.135222619862973e-08,1.0,True
two_lobe_minus,two_lobe,-0.35,0.6863066563465712,1.3816695113602169,0.3775135872343601,-0.0208723709189331,1.4210414908896304e-06,3.7584608319973237e-06,1.4112348943195472e-08,2.0886838543502347e-12,-0.09400342655936647,0.07340359493799639,-0.1282187956636913,-0.07340359493739257,0.08886285633099707,1.4846690465970818,1.8948673564373382,1.104353920138475,4.8412059531716885e-08,1.0,True
