q,source_name,source_kind,R_center,sigma_X,R_observer,coupling_integral_re,coupling_integral_im,coupling_integral_abs,normalized_overlap,signed_source_area,residue_re,residue_im,residue_abs,residue_relative_difference_h
0.1,gaussian_R5_sigmaX0p75,gaussian,5.0,0.75,25.0,0.37412335061990243,0.07080110065161789,0.3807638078028727,0.4433517995887505,1.6305458450436359,-0.06525856562375511,0.050373305583154,0.0824387669888613,0.00035729513120733144
0.1,gaussian_R8_sigmaX1p50,gaussian,8.0,1.5,25.0,0.10734807298125656,0.4696191187607768,0.48173200586886245,0.5609166295343665,2.305002772725124,-0.09144780545850763,-0.0501561516704139,0.10429928414693276,0.00035729513120727176
0.1,derivative_gaussian_R6_sigmaX1p00,derivative_gaussian,6.0,1.0,25.0,-0.08770269856691537,0.12260487649798987,0.15074388570355537,0.1755223885098671,1.1606584394141528e-06,-0.007232821193609079,-0.03182587104777642,0.032637398339457356,0.0003572951312072271
0.2,gaussian_R5_sigmaX0p75,gaussian,5.0,0.75,25.0,0.5984482304968068,0.06467083292154903,0.6019323892394611,0.43808010811870135,1.6305458450436359,-0.116051980329732,0.06571261045081009,0.13336494783380085,0.0007252429140875763
0.2,gaussian_R8_sigmaX1p50,gaussian,8.0,1.5,25.0,0.223479507651019,0.7430095633266633,0.7758906505009716,0.5646851143684429,2.305002772725124,-0.1362512087678133,-0.10482248429128044,0.17190737361639255,0.0007252429140874998
0.2,derivative_gaussian_R6_sigmaX1p00,derivative_gaussian,6.0,1.0,25.0,-0.12161707968073239,0.2092084765447061,0.24198946408516725,0.176117405351722,1.1606584394141528e-06,-0.005155045164085131,-0.05336711029286827,0.05361551036458502,0.0007252429140874975
