seed_re,seed_im,lambda_seed_pair,success,root_re,root_im,abs_D_R40,lambda1_re,lambda1_im,lambda2_re,lambda2_im,relsv1,relsv2,chiJ_re,chiJ_im,chiX_re,chiX_im,nfev
0.37751481446,-0.020871654486,"((-0.06+0.02j), (-0.15-0.02j))",True,0.37528745682428444,-0.021057162747673584,4.1766662480909035e-08,-0.0929641193155617,0.08311249218256492,-0.12925810290768966,-0.08311249218152503,1.3614874496679567e-12,7.228414699212145e-15,0.6949803731663712,1.35623274917608,1.7553441896158328,0.3372347639178213,20
0.37751481446,-0.020871654486,"((-0.04+0.05j), (-0.18-0.05j))",True,0.37528745808000813,-0.021057159490506572,1.5754961924106548e-08,-0.09296411769724608,0.08311247792699031,-0.12925810452497596,-0.08311247792699149,5.6495734862744594e-15,6.018839021651891e-15,0.6949798461770311,1.3562323717044733,1.7553434815590654,0.3372349885626743,18
0.38151481446,-0.016871654486,"((-0.06+0.02j), (-0.15-0.02j))",True,0.37528746182410266,-0.021057157701826257,1.228492911552818e-08,-0.09296411510459653,0.08311245542359413,-0.12925810711871671,-0.08311245542255609,1.3983682489600076e-12,3.48730019693779e-15,0.6949784662440242,1.3562325062903113,1.755342636151571,0.3372363524382975,21
0.38151481446,-0.016871654486,"((-0.04+0.05j), (-0.18-0.05j))",True,0.37528746106746846,-0.021057157730712206,1.0910341464083283e-08,-0.0929641141750541,0.08311245750163158,-0.1292581080471711,-0.0831124575016328,6.9607424268472495e-15,8.340809660843816e-15,0.6949786574007302,1.3562324526226233,1.7553427207395442,0.3372361404026296,20
0.37351481446,-0.017871654486,"((-0.06+0.02j), (-0.15-0.02j))",True,0.3752874588366513,-0.02105715950459195,1.204143099429257e-08,-0.09296411274665137,0.08311247192983762,-0.12925810947656105,-0.0831124719288328,1.3112824747446749e-12,4.162485258868721e-15,0.6949793739609892,1.3562324446895624,1.7553432116318184,0.33723547408716437,22
0.37351481446,-0.017871654486,"((-0.04+0.05j), (-0.18-0.05j))",True,0.37528745744963,-0.021057160281193265,3.9481932205443686e-08,-0.09296410322877115,0.08311247639669331,-0.12925811899345058,-0.08311247639669686,6.641380533216408e-15,4.247710549201119e-15,0.6949794478934124,1.3562323334562933,1.755343151750332,0.3372353280587747,16
0.38351481446,-0.025871654486,"((-0.06+0.02j), (-0.15-0.02j))",True,0.37528745848448847,-0.021057158725904017,2.7715656979537463e-09,-0.09296411298574492,0.08311246873704113,-0.12925810923746592,-0.0831124687360439,1.3020866507469243e-12,4.1750627632314756e-15,0.6949794287730795,1.35623238503254,1.755343197979069,0.3372353858359886,24
0.38351481446,-0.025871654486,"((-0.04+0.05j), (-0.18-0.05j))",True,0.375287459850769,-0.021057158299201604,1.1145719925799946e-08,-0.09296411406505971,0.08311246015072463,-0.12925810815716388,-0.08311246015072501,5.262412100341333e-15,3.4902077043243805e-15,0.6949789769878446,1.3562325427640134,1.7553430261984406,0.3372359130188879,18
0.37151481446,-0.024871654486,"((-0.06+0.02j), (-0.15-0.02j))",True,0.3752874597623656,-0.02105715809624379,1.2673409805359236e-08,-0.09296411094858055,0.08311245920025469,-0.12925811127474007,-0.08311245919920597,1.4113693021402138e-12,4.653203715311231e-15,0.6949788810788202,1.3562324647649189,1.755342885354462,0.33723594673779306,22
0.37151481446,-0.024871654486,"((-0.04+0.05j), (-0.18-0.05j))",True,0.3752874603362886,-0.021057159981665775,1.9152658541392808e-08,-0.09296411562460016,0.08311245581973802,-0.12925810659762182,-0.08311245581974162,4.473340921241352e-15,4.090487106211777e-15,0.6949787596479797,1.3562331029284493,1.7553433814678094,0.3372365078715226,21
