Rmax,horizon_eps,theta_offset,asymptotic_order,root_re,root_im,abs_D,abs_shift_from_baseline
60.0,1e-07,0.0,8,0.3775148144596591,-0.020871654486117355,1.6531176350133874e-08,0.0
80.0,1e-07,0.0,8,0.3775148144596591,-0.020871654486117355,1.6647075295875766e-08,0.0
100.0,1e-07,0.0,8,0.37751481039929496,-0.020871660558186626,1.1291190163496183e-08,7.3045590086780535e-09
80.0,1e-06,0.0,8,0.3775148169321704,-0.02087165832289652,1.281748280073982e-08,4.564448107371217e-09
80.0,1e-08,0.0,8,0.3775148144596591,-0.020871654486117355,1.6647203025904546e-08,0.0
80.0,1e-07,0.04,8,0.3775148148717898,-0.02087165170878869,1.5137849475961476e-08,2.807740408303763e-09
80.0,1e-07,-0.04,8,0.3775148144596591,-0.020871654486117355,1.674874786352575e-08,0.0
80.0,1e-07,0.0,7,0.3775148137570191,-0.02087166362460672,1.0419065463870711e-08,9.16546184531178e-09
