Ncoll,root_re,root_im,matching_abs,difference_from_reference,inner_collocation_residual,outer_collocation_residual,lambda1_re,lambda1_im,lambda2_re,lambda2_im,lambda_sum_error,max_bulk_relative_sv,chiJ_abs,chiX_abs,solver_success
48,0.3775148147335272,-0.0208716436774976,8.905000784724444e-07,1.0811962835750983e-08,6.460147306785053e-15,6.3838899119567005e-15,-0.0940017906294126,0.0733973415430373,-0.1282204315641607,-0.0733973415437908,2.865871233112961e-11,2.2996062582436354e-11,1.4872142914630273,2.193051934129291,True
64,0.3775148093479481,-0.0208716418513059,1.214186863596371e-07,1.3629694375403356e-08,9.266021485518096e-15,1.1462520369750081e-14,-0.0940017700034,0.0733973215279224,-0.1282204521904255,-0.0733973215274351,2.840074405141428e-11,2.271762209469737e-11,1.4872141475920655,2.1930517095241067,True
80,0.3775148093479481,-0.0208716418513059,1.2143179641901934e-07,1.3629694375403356e-08,9.899985095236522e-15,9.48548427126052e-15,-0.0940017700034,0.0733973215279224,-0.1282204521904255,-0.0733973215274351,2.840074405141428e-11,2.271762209469737e-11,1.4872141475920655,2.1930517095241067,True
