N,max_constant_fourier_audit,max_constant_fourier_audit_raw,worst_constant_audit_raw_xi,worst_constant_audit_raw_nr,worst_constant_audit_raw_nphi,worst_constant_audit_xi,worst_constant_audit_nr,worst_constant_audit_nphi,carrier_PH0H0_re,carrier_PH0H0_im,kappa_re,kappa_im,chiJ_re,chiJ_im,chiJ_abs,chiX_re,chiX_im,chiX_abs,sharp_fSX_re,sharp_fSX_im,delta_chiX_re,delta_chiX_im,delta_chiX_abs,chiJ_nr1_abs,chiX_nr1_abs,chiJ_nr2_abs,chiX_nr2_abs,chiJ_nr3_abs,chiX_nr3_abs
14,0.0,2.0107749121823206e-07,0.02,-2,0,,0,0,0.03325148955270882,0.015276660804869845,191.75058794981132,-7.224114881635547,-0.08441183124160911,0.8697102233975934,0.8737970187268057,1.2356370771151048,1.1735460685778034,1.7041154190417909,4.664960723627924,-10.64939540178426,-3.4293236465128185,11.822941470362062,12.310247994420706,0.8680825905334882,1.702440672169016,0.0005106653246698755,0.0008996482386484036,0.011609607732415136,0.005357043468735175
20,0.0,1.9672674979817516e-07,0.02,-2,0,,0,0,0.03227878302482971,0.013997165636708577,199.55019219689558,-3.2232002739257557,0.023982426883827748,0.9966604886084495,0.9969489888416916,1.3844434012054703,1.0634837410157958,1.7457609225052333,4.664960723627924,-10.64939540178426,-3.2805173224224533,11.712879142800055,12.16360685473492,0.9931213364470642,1.745141006537481,0.00020412387431519038,0.0005581250696274153,0.009629803564109123,0.003661903196059191
30,0.0,1.9295167756934726e-07,0.02,-2,0,,0,0,0.03178368224606111,0.013424445532372728,203.5081526501364,-1.3493716550576127,0.12644137078214102,1.0631035023191182,1.0705963183611469,1.4615731099478553,0.9417768913967992,1.7387178232512783,4.664960723627924,-10.64939540178426,-3.2033876136800683,11.591172293181058,12.02567949571612,1.0664374408204003,1.7383705777674214,9.121098723335219e-05,0.00027268002140928594,0.009608189445888524,0.0035690971751525915
40,0.0,1.9086421405981783e-07,0.02,-2,0,,0,0,0.03161490250601335,0.013241411728202139,204.85636564773398,-0.7430474267932601,0.170770308421621,1.0611181119986228,1.0747716714958286,1.452679033483727,0.8876449437630392,1.7024070960000444,4.664960723627924,-10.64939540178426,-3.212281690144197,11.537040345547299,11.975894688565935,1.0677112627107448,1.700933415398215,4.069224917688488e-05,0.00015926346067719733,0.011258793504971873,0.00501231906729791
60,0.0,1.8854335199131342e-07,0.02,-2,0,,0,0,0.03149475176492068,0.013115261663338568,205.8151135318524,-0.3245924142195601,0.2358035428693937,1.1024929380353734,1.1274280417160234,1.506628848378767,0.8011790308340617,1.7064050885458988,4.664960723627924,-10.64939540178426,-3.1583318752491563,11.450574432618321,11.878161266422815,1.1230688704296734,1.7062301279500256,2.4544733069072544e-05,7.1574600837289e-05,0.009335732961096514,0.0033537686502275363
80,0.0,0.9999816759909971,0.98,-2,0,,0,0,0.031453905996224316,0.013072569030454492,206.14224515425363,-0.18161875168005054,0.2640382019618704,1.0873646966438955,1.1189629822307476,1.4837420635922525,0.7600139752028062,1.6670668114315537,4.664960723627924,-10.64939540178426,-3.181218660035671,11.409409376987066,11.844609512121519,1.113318455337566,1.6659333656507929,1.1403481670407026e-05,3.75401478765272e-05,0.009130117561680803,0.003525665882162499
