seed_re,seed_im,root_re,root_im,matching_abs,difference_from_reference,max_bulk_relative_sv,inner_collocation_residual,outer_collocation_residual
0.378,-0.021,0.3775148088174876,-0.0208716514573603,1.53950058539635e-06,6.403952204906407e-09,2.2121285833164355e-11,1.0405909875936358e-14,9.899440182622414e-15
0.373,-0.018,0.3775148158195604,-0.0208715999996842,3.716000874160071e-06,5.4503275178725964e-08,2.354581021489976e-11,9.831562092365009e-15,9.830340490603394e-15
0.383,-0.025,0.3775148112416586,-0.0208717229824912,1.2694726947458188e-05,6.8572057285018e-08,1.774706752524004e-11,9.622593589575602e-15,1.0803604487367696e-14
