label,q,N,delta_ref,delta_N,q_step,log_mass_step,q_total_constructed,Rin_over_3Min,Rout_over_3M,RMS_metric,RMS_pr_over_rho,min_gap_before,max_2m_over_r
q_0p050_N104,0.05,104,0.00845,0.0001531249999999,0.9716057944834234,0.0288051180149422,0.05,1.0072125599941413,0.9933673007241196,0.0021682497762164,3.5160499845656384e-05,0.0010818839991212,0.6732650047156806
q_0p075_N90,0.075,90,0.006328125,0.000153125,0.9716294744882212,0.0287807462827314,0.0749999999999998,1.0072125599941415,0.9933662250808264,0.0021668403681804,3.508386087911144e-05,0.0016228259986818,0.6732614663700759
q_0p100_N80,0.1,80,0.005,0.000153125,0.971627951577106,0.0287823136624255,0.0999999999999995,1.0072125599941413,0.9933662942020456,0.0021669319526659,3.508878816349551e-05,0.0021637679982424,0.6732616945845328
q_0p150_N66,0.15,66,0.003403125,0.000153125,0.971664943582946,0.0287442421952406,0.1499999999999996,1.0072125599941415,0.993364617511324,0.0021647180063974,3.496913908262841e-05,0.0032456519973636,0.6732561413294122
q_0p200_N56,0.2,56,0.00245,0.000153125,0.971669101805932,0.0287399627220375,0.2000000000000005,1.0072125599941413,0.993364429329938,0.0021644835211894,3.4955694767702875e-05,0.0043275359964848,0.6732555146756356
