q,R_source,R_observer,ZL_source_re,ZL_source_im,ZR_observer_re,ZR_observer_im,residue_re,residue_im,residue_abs,residue_relative_difference_h
0.1,3.5,25.0,0.25508016416405344,-0.08389748241668214,-0.753066525278866,0.7870153352289387,-0.023101109722750725,0.05335097202878674,0.05813765979843834,0.00035729513120731437
0.1,4.0,25.0,0.2486748418285156,-0.04056849172799136,-0.753066525278866,0.7870153352289387,-0.0291931270753793,0.04608351998823465,0.05455208046394992,0.00035729513120738777
0.1,5.0,25.0,0.231832419451884,0.042869100480952375,-0.753066525278866,0.7870153352289387,-0.040276149796422016,0.03135913601308397,0.05104472209651968,0.000357295131207248
0.1,6.0,25.0,0.1955199076213166,0.12079119591257313,-0.753066525278866,0.7870153352289387,-0.047666653167672136,0.014276508987653893,0.04975870308882368,0.00035729513120734256
0.1,8.0,25.0,0.054335485189747984,0.2230941083396544,-0.753066525278866,0.7870153352289387,-0.0439227907648862,-0.023286334749232945,0.04971383041598491,0.0003572951312073584
0.1,10.0,25.0,-0.12528696120038213,0.19953906446881398,-0.753066525278866,0.7870153352289387,-0.01428054711927066,-0.048972278877976255,0.05101194099941688,0.0003572951312073076
0.2,3.5,25.0,0.3841756474057494,-0.1632506792399989,-0.8945400153448022,0.8304113997048544,-0.04803354631886587,0.07903293270328542,0.09248473400323252,0.0007252429140876047
0.2,4.0,25.0,0.38264010292474115,-0.09558543398580607,-0.8945400153448022,0.8304113997048544,-0.056503059691744614,0.06665782741281752,0.08738341782012089,0.0007252429140873414
0.2,5.0,25.0,0.37090034142682726,0.038253430119516485,-0.8945400153448022,0.8304113997048544,-0.0716893287714569,0.0410556012761853,0.08261308767895766,0.0007252429140875502
0.2,6.0,25.0,0.3254907382779504,0.1680805149027346,-0.8945400153448022,0.8304113997048544,-0.08029804521336026,0.011823430308329936,0.08116384397835519,0.0007252429140875585
0.2,8.0,25.0,0.1126901015973475,0.3529152444747095,-0.8945400153448022,0.8304113997048544,-0.06589389598780471,-0.04894314600883739,0.08208189245926291,0.0007252429140875624
0.2,10.0,25.0,-0.18292748540119907,0.33755528893399894,-0.8945400153448022,0.8304113997048544,-0.010711020502866857,-0.08438810434980468,0.08506514042759442,0.0007252429140875376
