q,root_re,root_im,abs_D,step_from_seed,lambda1_re,lambda1_im,lambda2_re,lambda2_im,lambda_sum_error,max_lambda_relative_sv,chiJ_re,chiJ_im,chiJ_abs,chiX_re,chiX_im,chiX_abs,lambda_separation,confluent_basis_cond,stability_variant_root_re,stability_variant_root_im,stability_shift,raw_derivative_h2e5_re,raw_derivative_h2e5_im,raw_derivative_h1e5_re,raw_derivative_h1e5_im,raw_derivative_h1e5_abs,raw_derivative_relative_difference,boundary_normalized_residue_re,boundary_normalized_residue_im,boundary_normalized_residue_abs,winding_number,direction,N,delta_ref,delta_N,q_step,log_mass_step,quality_factor
0.05,0.3765710220569764,-0.0191863612881705,2.2283976576142588e-08,0.0010147468928547,-0.0952724675153426,0.063159250065101,-0.1269497547068795,-0.063159250065101,0.0,3.5952219287731795e-14,0.1523527942054214,1.4656809529060255,1.4735779686238917,1.8796755624252528,1.0198255527019622,2.1385098498539943,0.1302298506447696,1.1548471411178454,0.3765710220678822,-0.0191863612861377,1.1093619401461259e-11,3.807545135865297,0.551235513209479,3.808536322041748,0.5520075338955737,3.8483322665524553,0.000326471331441,0.2571656611126552,-0.0372734747393241,0.259852822141019,1.0,lower_q,104,0.00845,0.0001531249999999,0.9716057944834234,0.0288051180149422,9.813508054003783
0.075,0.3770917812462608,-0.0200572924699147,1.836934706306126e-08,0.0009176657095061,-0.0944806503048864,0.0682738244113528,-0.1277415719173358,-0.0682738244113528,0.0,4.2546629704412677e-14,0.0976307838810002,1.4756559900551358,1.478882135583097,1.887518104290253,1.0909269663334125,2.1801023461977405,0.1405402052991189,1.1819497732442126,0.377091781832224,-0.020057297480549,5.044780418998213e-09,4.367566325301801,0.2995566457687608,4.38702770581556,0.3057606370480622,4.397670026134449,0.0046448066796325,0.2268428516527004,-0.0158101611118579,0.2273931409262644,1.0,lower_q,90,0.006328125,0.000153125,0.9716294744882212,0.0287807462827314,9.400366021781998
0.1,0.3775148159474828,-0.020871633919164,2.7930283835202316e-08,2.062065610044753e-08,-0.0940017398122101,0.0733972988823209,-0.1282204824100121,-0.0733972988823209,0.0,5.035725985407034e-12,0.0884816309420083,1.4845776168058868,1.4872120559406463,1.8944638617376928,1.104748430011652,2.193048658156791,0.1507301438925128,1.1995853991548544,0.3775148107368949,-0.0208716449786653,1.2225497730862944e-08,5.027466096965303,0.1859011250254088,5.029659919331911,0.1869179897868999,5.033131951284394,0.0004804225919079,0.1985463871004259,-0.0073786085245288,0.1986834459495567,1.0,baseline,80,0.005,0.000153125,0.971627951577106,0.0287823136624255,9.043729336418966
0.15,0.3784724364774145,-0.0224306834307486,8.904890902923648e-09,0.0018296645755216,-0.0932883270692972,0.082879966020226,-0.1289338951529249,-0.082879966020226,0.0,1.6216030956484482e-12,0.0788664901744185,1.5004962441006593,1.5025674367004689,1.9057562253796596,1.125083085654184,2.2130790180647564,0.1695492895710855,1.2348929366836463,0.3784724364774145,-0.0224306834307486,0.0,5.489884714645091,-0.2227104830809442,5.488697886365991,-0.2253396369607946,5.49332162173162,0.0005251133192013,0.1818860004216321,0.0074673676984611,0.1820392230529508,1.0,higher_q,66,0.003403125,0.000153125,0.971664943582946,0.0287442421952406,8.43648918781033
0.2,0.3797013686231943,-0.0239854837986382,1.91559405806155e-08,0.0019818371282526,-0.0926645248365645,0.0917935565479283,-0.1295576973856576,-0.0917935565479283,0.0,3.062018746890179e-12,0.0607947497091654,1.5157467249563787,1.5169654365898348,1.9141114709978888,1.1528734798635167,2.2344887522604173,0.1872574011237154,1.2783171550897885,0.3797013686231943,-0.0239854837986382,0.0,5.465830547220912,-0.6870961423974252,5.4639506722437865,-0.6831143653719672,5.506487281824128,0.0007996449906572,0.1802011212715772,0.0225291152832095,0.1816039788743017,1.0,higher_q,56,0.00245,0.000153125,0.971669101805932,0.0287399627220375,7.915232642602589
