source_class,source_name,R_source_over_M,vacuum_residue_re,vacuum_residue_im,vacuum_residue_abs
point,point_R3.5,3.5,0.9725877630442086,2.110237485387052,2.323581115768504
point,point_R4,4.0,0.8395559991484218,2.336944054971781,2.4831757472587506
point,point_R5,5.0,0.1982666869208309,2.8403568890339512,2.8472683288066105
point,point_R6,6.0,-0.8597336723548168,3.1389356482540585,3.2545443600081447
point,point_R8,8.0,-3.556061079416142,2.2187920141308104,4.191492383687337
point,point_R10,10.0,-5.181263609496223,-1.1804265040661708,5.314028539873653
smooth,gaussian_R5_sigmaX0p75,,0.236029416345722,4.605244943653204,4.6112895025604175
smooth,gaussian_R8_sigmaX1p50,,-7.856726326041573,4.157397716303552,8.888875313212617
smooth,derivative_gaussian_R6_sigmaX1p00,,-2.1154407733848157,0.0663328575141557,2.116480501607548
