q,root_re,root_im,chiJ_abs
0.05,0.3765710220569764,-0.0191863612881705,1.4735779686238917
0.075,0.3770917812462608,-0.0200572924699147,1.478882135583097
0.1,0.3775148159474828,-0.020871633919164,1.4872120559406463
0.15,0.3784724364774145,-0.0224306834307486,1.5025674367004689
0.2,0.3797013686231943,-0.0239854837986382,1.5169654365898348
