q,R_source_over_M,vacuum_residue_re,vacuum_residue_im,vacuum_residue_abs,kinetic_residue_re,kinetic_residue_im,kinetic_residue_abs,kinetic_to_vacuum_residue_ratio
0.1,3.5,0.9725877630442086,2.110237485387052,2.323581115768504,-0.023101109722750725,0.05335097202878674,0.05813765979843834,0.025020714535808154
0.1,4.0,0.8395559991484218,2.336944054971781,2.4831757472587506,-0.0291931270753793,0.04608351998823465,0.054552080463949916,0.02196867480047336
0.1,5.0,0.1982666869208309,2.8403568890339512,2.8472683288066105,-0.040276149796422016,0.03135913601308397,0.05104472209651968,0.01792761208351385
0.1,6.0,-0.8597336723548168,3.1389356482540585,3.2545443600081447,-0.047666653167672136,0.014276508987653893,0.04975870308882367,0.015288992124445693
0.1,8.0,-3.556061079416142,2.2187920141308104,4.191492383687337,-0.0439227907648862,-0.023286334749232945,0.04971383041598491,0.011860651497176451
0.1,10.0,-5.181263609496223,-1.1804265040661708,5.314028539873653,-0.01428054711927066,-0.048972278877976255,0.05101194099941688,0.009599485704047376
0.2,3.5,0.9725877630442086,2.110237485387052,2.323581115768504,-0.04803354631886587,0.07903293270328542,0.09248473400323252,0.039802670703253676
0.2,4.0,0.8395559991484218,2.336944054971781,2.4831757472587506,-0.056503059691744614,0.06665782741281752,0.08738341782012089,0.03519018656516196
0.2,5.0,0.1982666869208309,2.8403568890339512,2.8472683288066105,-0.0716893287714569,0.0410556012761853,0.08261308767895766,0.029014858502494453
0.2,6.0,-0.8597336723548168,3.1389356482540585,3.2545443600081447,-0.08029804521336026,0.011823430308329936,0.08116384397835519,0.024938619665381384
0.2,8.0,-3.556061079416142,2.2187920141308104,4.191492383687337,-0.06589389598780471,-0.04894314600883739,0.08208189245926291,0.01958297545254129
0.2,10.0,-5.181263609496223,-1.1804265040661708,5.314028539873653,-0.010711020502866857,-0.08438810434980468,0.08506514042759442,0.016007655922302768
