variant,root_re,root_im,abs_W,shift_from_reference
Rmax60,0.3736716842712476,-0.08896231557153148,1.5716942399081144e-14,1.0734920811196824e-10
Rmax80,0.3736716843524924,-0.08896231564169654,1.015414736756521e-13,0.0
Rmax100,0.37367168434429127,-0.08896231563490692,1.6535282113010128e-13,1.0646931338136874e-11
eps5e-8,0.37367168434876513,-0.0889623156408949,3.464612448140227e-14,3.812472249756944e-12
eps1e-7,0.3736716843524924,-0.08896231564169654,1.015414736756521e-13,0.0
eps2e-7,0.3736716843597179,-0.08896231564273056,6.48793203471152e-14,7.299165758540129e-12
